id,phase,repeat,S_mv,D_mv,E,D,I,V,S_real,E_real,BPM,mp3_path
254,3,0,0,0,1.0,0.29375,0.017578125,0.00019086315096669828,0.44375000000000003,0.009589217047637807,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0254.mp3
255,2,7,1,1,1.0,0.41562499999999997,0.05213758680555555,0.00022675263249412675,0.47187500000000004,0.013824099240696998,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0255.mp3
256,3,1,0,2,1.0,0.55625,0.11480034722222222,0.0001983030617776642,0.45624999999999993,0.010380456701482087,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0256.mp3
257,3,5,2,1,1.0,0.378125,0.03955078125,0.00024756815160754784,0.496875,0.015884000580545003,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0257.mp3
258,1,6,1,1,0.0,0.40625,0.048828125,0.0,0.5656249999999999,0.0,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0258.mp3
259,3,5,1,0,1.0,0.265625,0.01220703125,0.00013550919952961505,0.546875,0.008438491774027251,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0259.mp3
260,3,2,2,0,0.0,0.2375,0.0078125,0.0,0.44375,0.0,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0260.mp3
261,2,4,1,1,0.5,0.396875,0.04562717013888889,4.1898888513466114e-05,0.515625,0.004577681450039319,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0261.mp3
262,3,1,0,2,0.0,0.584375,0.13026258680555555,0.0,0.484375,0.0,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0262.mp3
263,3,0,1,0,1.0,0.27499999999999997,0.01388888888888889,0.0002396381938741905,0.47187500000000004,0.012448384505178907,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0263.mp3
